position,agerange,yrsscale,hourwage
1,1,2,13.736234054538
0,1,2,16.4407309689108
0,1,3,21.3891077239505
1,1,1,11.377187468408
0,1,3,21.5607775454338
0,1,1,18.1174858901292
1,1,3,13.1400498995424
0,1,1,24.7253574648846
0,1,2,15.7033859876378
1,1,1,18.9398303592689
0,1,1,25.4480712659323
0,1,1,19.705305074708
1,1,2,21.1376405166003
0,1,2,20.5315550676013
0,1,2,20.8279836694517
1,1,2,16.8146551893172
0,1,2,17.5907905170075
0,1,3,18.7288615330749
1,1,2,14.7654266802246
0,1,3,19.3564768907118
0,1,2,17.03449651555
1,1,3, 
0,1,3,20.668049775525
0,1,2,19.4132097981853
1,1,3,20.2186445909543
0,1,1,20.2316138559317
0,1,3,16.4755631348307
1,1,3,12.2651500890888
0,1,3,23.5079956100004
0,1,2,17.6725948734504
1,1,2,11.2043637027794
0,1,1,20.4428958752434
0,1,1,21.6066022080884
1,1,1,17.714878575319
0,1,2,17.1202104829004
0,1,1,15.6280439509713
1,1,3,24.3118857053219
0,1,1,16.9538958286491
0,1,2,20.1838409211958
1,1,2,11.1939580129425
0,1,2,23.9051931098802
0,1,3,19.4043936650975
1,1,2,13.9890700764055
0,1,3,21.2601991291544
0,1,1,18.4843910014341
1,1,1,18.8027772302478
0,1,1,22.0426628637296
0,1,2,16.8915604139346
1,1,1,15.0502551200959
0,1,2,19.8164291672742
0,1,3,23.4013448381313
1,1,2,18.9314936752157
0,1,1, 
0,1,2,15.373353495012
1,1,2,24.4792384930074
0,1,1,19.315141311732
0,1,2,20.1875341141409
1,1,2,17.3013540595284
0,1,1,16.3543135399747
0,1,2,20.0323016951554
1,1,1,16.1483154760821
0,1,1,16.5538737681081
0,1,1,13.9141502771064
1,1,2,14.6837605493125
0,1,1,19.8087255033605
0,1,1,25.0322979590027
1,1,2,23.5353719944317
0,1,3,21.1619247022275
0,1,3,23.8564496619598
1,1,1,16.4826173238104
0,1,3,12.6423543014421
0,1,3,20.1328965434314
1,1,2,13.7059407878731
0,1,3,18.9132673985193
0,1,3,19.2304204702839
1,1,2,16.6616920782664
0,1,2,22.5884533471748
0,1,1,16.5623836898918
